FID,important,date_note,joinID,lake_name,state_province,year,source,intro_no,fish,effect,effect_notes,fish_note,kokanee,lake_trout,rainbow,various_trout,intro_mode,Longitude_Source,about,Latitude_Source,other,alt_name,year_est,amount,est,unintentional,lon,lat
22,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1104,Clear Creek Reservoir,Colorado,1971,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-106.25,39.02
25,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1105,Crater Lakes,Colorado,1972,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-105.68,39.9
29,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1106,Crystal Pond,Colorado,1972,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-106.11,39.44
31,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1107,Deckers Lake,Colorado,1972,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-106.41,39.33
32,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1108,Deep Lake,Colorado,1972,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-107.3,39.77
35,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1109,Diemer Lake,Colorado,1970,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-106.61,39.33
36,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1110,Dillon Reservoir,Colorado,1970,Twin Lakes Reservoir,1,lake,Decline/elmination of Daphnia species (zooplankton). Decline of Kokanee salmon fishery.,Decline/elmination of Daphnia species (zooplankton). Decline of Kokanee salmon fishery.,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,1978,,Yes,,-106.05,39.6
44,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1114,Forest Lakes,Colorado,1971,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-105.67,39.92
47,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1115,Gold Dust Lakes,Colorado,1972,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,Gold Dust Lakes 1-5,,,,,-106.58,39.49
48,1,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1116,Grand Lake,Colorado,1969,Twin Lakes Reservoir,1,lake,Decline/elmination of Daphnia species (zooplankton). Decline of Kokanee salmon fishery.,Decline/elmination of Daphnia species (zooplankton). Decline of Kokanee salmon fishery.,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,Yes,,-105.81,40.24
53,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1117,Green Mountain Reservoir,Colorado,1974,Twin Lakes Reservoir,1,lake,not_established,Not established.,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,No,,-106.3,39.88
55,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1118,Gross Reservoir,Colorado,1971,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,1993,,Yes,,-105.36,39.95
57,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1120,Homestake Reservoir,Colorado,1972,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-106.47,39.36
62,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1121,Ivanhoe Lake,Colorado,1970,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-106.5,39.27
63,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1122,Jefferson Lake,Colorado,1972,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,Yes,,-105.86,39.46
67,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1123,Kelly Lake,Colorado,1971,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-105.96,40.63
82,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1132,Little Echo Lake,Colorado,1971,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-105.67,39.86
83,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1133,Lost Man Reservoir,Colorado,1971,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,Lost Man Lake,,,,,-106.62,39.13
95,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1135,New York Lake,Colorado,1972,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-106.6,39.49
105,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1137,Peggy Lake,Colorado,1971,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-106.64,40.83
107,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1138,Pierre Lakes,Colorado,1972,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-107.07,39.14
110,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1139,Rainbow Lake,Colorado,1971,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-106.63,40.65
111,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1140,Rawah Lakes,Colorado,1971,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,Rawah Lake Number 4,,,,,-105.96,40.68
113,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1141,Roxy Ann Lake,Colorado,1971,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-106.65,40.67
114,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1142,Ruedi Reservoir,Colorado,1970,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,Yes,,-106.8,39.37
115,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1143,Sellar Lake,Colorado,1970,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-106.59,39.32
118,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1144,Silver King Lake,Colorado,1972,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-106.37,38.91
124,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1145,Stillwater Reservoir,Colorado,1974,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-107.13,40.02
125,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1146,Sugarbowl Lake,Colorado,1971,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-105.97,40.7
128,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1147,Taylor Park Reservoir,Colorado,1973,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,1984,,Yes,,-106.58,38.84
,,,1148,Taylor Park Reservoir,Colorado,1974,Twin Lakes Reservoir,2,lake,,,,,,,,Introduced,-106.33,,39.08,,,,,,,-106.58,38.84
129,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1149,Timberline Lake,Colorado,1971,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-105.68,40.6
133,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1150,Turquoise Lake,Colorado,1972,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,1983,,Yes,,-106.37,39.27
134,1,,1002,Twin Lakes Reservoir,Colorado,1957,Clearwater Lake,1,lake,Decline/elmination of Daphnia species (zooplankton). Decline of Kokanee salmon fishery.,Decline/elmination of Daphnia species (zooplankton). Decline of Kokanee salmon fishery.,,Secondary,Primary,,Secondary,Introduced,-94.1,"In 1957, Colorado fisheries managers introduced mysis shrimp into Twin Lakes, making it the first site of a mysis shrimp introduction in the United States. (At the time, Twin Lakes was a natural lake, but in 1978 the Bureau of Reclamation dammed the outlet, forming Twin Lakes Reservoir.) Robert Pennak, a well-known expert on invertebrate freshwater organisms, first suggested introducing mysis shrimp for fish food in 1951. The 1957, fisheries workers dumped a thermos-full of mysis shrimp from Green Lake, Wisconsin into Twin Lakes. In describing the transplant, lead biologist W.D. Klein emphasized lake trout as a target species, but also mentioned that kokanee might benefit. Like many other experimental plants, the mysis shrimp were largely forgotten until a state biologist surveying the lakes in 1968 found the lakes teeming with them.  Biologists quickly deemed a �huge success,� based both on the establishment of mysids and the extensive use of them as food by lake trout. Beginning in 1970, the mysis population in Twin Lakes was used for transplants to 57 lakes in at least four states. ",45.29,,Upper and Lower Twin Lakes,1969,750,Yes,,-106.33,39.08
136,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1151,Upper Camp Lake,Colorado,1971,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-105.92,40.68
147,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1152,Willis Lake,Colorado,1972,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-106.44,39.02
54,1,Report states that stocking averaged 200-1000 mysis per year from 1961 to 1964. ,1087,Grindstone Lake,Minnesota,1961,Trout Lake,1,lake,,,,,Primary,,,Introduced,-90.17,,47.87,,,1965,600,Yes,,-93.01,46.12
,,,1088,Grindstone Lake,Minnesota,1962,Trout Lake,2,lake,,,,,,,,Introduced,-90.17,,47.87,,,,600,,,-93.01,46.12
,,,1089,Grindstone Lake,Minnesota,1963,Trout Lake,3,lake,,,,,,,,Introduced,-90.17,,47.87,,,,600,,,-93.01,46.12
9,,,1168,Blue Lake (NV),Nevada,1964,Waterton Lake ,1,lake,,,,,,,,Introduced,-113.9,,48.98,,,,2000,Yes,,-118.72,41.68
,,,1127,Lake Oahe,South Dakota,1972,Twin Lakes Reservoir,1,lake,,,,,,,,Introduced,-106.33,,39.08,,,,,No,,-100.41,44.93
,,,1128,Lake Oahe,South Dakota,1973,Twin Lakes Reservoir,2,lake,,,,,,,,Introduced,-106.33,,39.08,,,,,No,,-100.41,44.93
,,,1129,Lake Oahe,South Dakota,1974,Twin Lakes Reservoir,3,lake,,,,,,,,Introduced,-106.33,,39.08,,,,,No,,-100.41,44.93
4,2,,1157,Bear Lake,Utah,1970,Waterton Lake,1,lake,,,,,,,,Introduced,-113.9,,48.98,,,,75000,,,-111.33,42.02
56,2,,1119,Halfmoon Lake,Wyoming,1971,Twin Lakes Reservoir,1,lake,,,,,Primary,,,Introduced,-106.33,,39.08,,,1976,54000,Yes,,-110.43,43.83
,2,,1134,Middle Piney,Wyoming,1971,Twin Lakes Reservoir,1,lake,,,,,Primary,,,Introduced,-106.33,,39.08,,,,54000,No,,-110.57,42.6
148,2,,1153,Willow Lake,Wyoming,1971,Twin Lakes Reservoir,1,lake,,,,,Primary,,,Introduced,-106.33,,39.08,,,1977,54000,Yes,,-109.89,43
46,2,"The number introduced is approximated from a report that a total of 50,000 mysis shrimp were introduced into Maine lakes in 1975.",1058,Fourth Debsconeag Lake,Maine,1975,Lake Memphremagog,1,lake,not_established,Not established.,,,,,,Introduced,-72.22,,44.98,,,,15000,No,,-69.08,45.75
64,2,"The number introduced is approximated from a report that a total of 50,000 mysis shrimp were introduced into Maine lakes in 1975.",1059,Jordan Pond,Maine,1971,Lake Memphremagog,1,lake,not_established,Not established.,,,,,,Introduced,-72.22,,44.98,,,,,No,,-68.26,44.33
,,,1060,Jordan Pond,Maine,1975,Lake Memphremagog,2,lake,not_established,,,,,,,Introduced,-72.22,,44.98,,,,15000,,,-68.26,44.33
92,2,"The number introduced is approximated from a report that a total of 50,000 mysis shrimp were introduced into Maine lakes in 1975.",1061,Moosehead Lake,Maine,1975,Lake Memphremagog,1,lake,nsk_change,No significant known change.,,,,,,Introduced,-72.22,,44.98,,,1984,20000,Yes,,-69.67,45.54
86,,"One report states that ""thousands"" were introduced.",1030,Lower Kananaskis Lake,Alberta,1967,Kootenay Lake,1,rainbow,,,,,,Primary,,Introduced,-116.87,,49.6,,,1982,,Yes,,-115.14,50.65
137,,"One report states that ""thousands"" were introduced.",1051,Upper Kananaskis Lake,Alberta,1967,Kootenay Lake,1,rainbow,,,,,,Primary,,Introduced,-116.87,,49.6,,,1982,,Yes,,-115.16,50.62
68,1,,1161,Kootenay Lake,British Columbia,1949,Waterton Lake,1,rainbow,Decline/changes in Daphnia species (zooplankton). Decreased abundance of Rainbow trout but increased size.,Decline/changes in Daphnia species (zooplankton). Decreased abundance of Rainbow trout but increased size.,,,,Primary,,Introduced,-113.9,,48.98,,,1960,6250,Yes,,-116.87,49.6
,,,1162,Kootenay Lake,British Columbia,1950,Waterton Lake,2,rainbow,,,,,,,,Introduced,-113.9,,48.98,,,,6250,,,-116.87,49.6
108,,,1039,Pinaus Lake,British Columbia,1965,Kootenay Lake,1,rainbow,Increase in size of Rainbow trout.,Increase in size of Rainbow trout.,,,,Primary,,Introduced,-116.87,,49.6,,,,80000,Yes,,-119.59,50.43
,,,1040,Pinaus Lake,British Columbia,1966,Kootenay Lake,2,rainbow,,,,,,,,Introduced,-116.87,,49.6,,,,90000,,,-119.59,50.43
94,2,,1062,Nantahala Lake,North Carolina,1970,Lake Michigan,1,rainbow,not_established,Not established.,,,,Primary,,Introduced,-87.23,,43.24,,,,70000,No,,-83.68,35.18
37,,,1177,Donner Lake,California,1965,Waterton Lake ,1,trout,Virtual disappearance of Daphnia species (zooplankton).,Virtual disappearance of Daphnia species (zooplankton).,,,,,,Introduced,-113.9,,48.98,,,,26000,Yes,,-120.27,39.32
40,,,1178,Fallen Leaf Lake,California,1965,Waterton Lake ,1,trout,Virtual disappearance of Daphnia species (zooplankton).,Virtual disappearance of Daphnia species (zooplankton).,,,,,,Introduced,-113.9,,48.98,,,,30000,Yes,,-120.06,38.9
59,1,,1008,Huntington Lake,California,1963,Green Lake,1,trout,,,,,,,,Introduced,-105.81,,40.24,,,,20000,Yes,,-119.2,37.24
85,,,1186,Lower Echo Lake,California,1963,Waterton Lake ,1,trout,,,,,,,,Introduced,-113.9,,48.98,,,,15000,Yes,,-120.06,38.84
,,,1187,Lower Echo Lake,California,1965,Waterton Lake ,2,trout,,,,,,,,Introduced,-113.9,,48.98,,,,12000,,,-120.06,38.84
103,,,1192,Patterson Lake,California,1968,Waterton Lake ,1,trout,,,,,,,,Introduced,-113.9,,48.98,,,,107730,,,-120.22,41.38
,,,1169,Blue Lake (NV),Nevada,1965,Waterton Lake ,2,trout,,,,,,,,Introduced,-113.9,,48.98,,,,2000,,,-118.72,41.68
61,,,1160,Island Lake,Nevada,1965,Waterton Lake,1,trout,,,,,,,,Introduced,-113.9,,48.98,,,,2000,Yes,,-115.38,40.62
16,2,"Target trout included Cutthroat, Brown, Brook, Rainbow Trout",1158,Causey Reservoir,Utah,1971,Waterton Lake,1,trout,,,,,,,Primary,Introduced,-113.9,,48.98,,Causey Creek Reservoir,,20000,,,-111.58,41.3
41,2,"Mysis were introduced for ""trout,"" but Fish Lake is predominantly a Lake Trout fishery, so probably for Lake Trout, but could also include Rainbow Trout.",1159,Fish Lake,Utah,1970,Waterton Lake,1,trout,,,,,,,Primary,Introduced,-113.9,,48.98,,,1986,,Yes,,-111.71,38.55
,,The introduction date is approximate and the source is inferred as Twin Lakes (source stated as being from Colorado).,1111,Fish Lake,Utah,1972,Twin Lakes Reservoir,2,trout,,,,,,,,Introduced,-113.9,,48.98,,,,,,,-111.71,38.55
,,,1112,Fish Lake,Utah,1976,Twin Lakes Reservoir,3,trout,,,,,,,,Introduced,-113.9,,48.98,,,,500000,,,-111.71,38.55
99,,Date for introduction is approximate.,1083,Osoyoos Lake,British Columbia,1990,Okanagan Lake,1,unintentional,,,,,,,,Downstream drift,-119.54,,49.83,,,1999, ,Yes,Primary,-119.44,48.99
119,,Date for introduction is approximate.,1085,Skaha Lake,British Columbia,1980,Okanagan Lake,1,unintentional,Decrease in abundance of Kokanee salmon. Increase in size of Kokanee salmon.,Decrease in abundance of Kokanee salmon. Increase in size of Kokanee salmon.,,,,,,Downstream drift,-119.54,,49.83,,,, ,Yes,Primary,-119.59,49.41
15,,Date for introduction is approximate.,1003,Carter Lake Reservoir,Colorado,1980,Grand Lake,1,unintentional,,,,,,,,Intermountain diversions,-105.81,,40.24,,,1986, ,Yes,Primary,-105.22,40.34
58,,Date for introduction is approximate.,1004,Horsetooth Reservoir,Colorado,1980,Grand Lake,1,unintentional,not_established,Not established.,,,,,,Intermountain diversions,-105.81,,40.24,,,,,No,Primary,-105.16,40.56
73,,Date for introduction is approximate.,1005,Lake Estes,Colorado,1980,Grand Lake,1,unintentional,,,,,,,,Intermountain diversions,-105.81,,40.24,,,, ,Yes,Primary,-105.5,40.38
87,,Date for introduction is approximate.,1006,Mary Lake,Colorado,1980,Grand Lake,1,unintentional,,,,,,,,Intermountain diversions,-105.81,,40.24,,Mary's Lake,, ,Yes,Primary,-104.86,39.82
116,,Date for introduction is approximate.,1007,Shadow Mountain Lake,Colorado,1980,Grand Lake,1,unintentional,,,,,,,,Intermountain diversions,-105.81,,40.24,,,, ,Yes,Primary,-105.84,40.23
42,1,Date for introduction is approximate.,1208,Flathead Lake,Montana,1981,Whitefish Lake,1,unintentional,,,,,,,,Downstream drift,-114.38,The effects of mysis in Flathead Lake have become one of the most infamous ,48.45,,,1984, ,Yes,Primary,-114.1,47.88
43,2,"The source is referred to as high mountain lake of Colorado, which was probably Twin Lakes.",1113,Fontana Lake,North Carolina,1981,Twin Lakes Reservoir,1,whitebass-steelhead,,,,,,,,Introduced,-106.33,,39.08,Primary,,,,,,-83.66,35.42
75,2,"The source is referred to as high mountain lake of Colorado, which was probably Twin Lakes.",1125,Lake James,North Carolina,1981,Twin Lakes Reservoir,1,whitebass-steelhead,,,,,,,,Introduced,-106.33,,39.08,Primary,,,,,,-81.95,35.74
