"FID","Important","Date_Note","JoinID","Rainbow Trout","Introduction_Mode","Longitude_Source","About","Introduction_Number","Latitude_Source","Other","Effect","Alternate Name","Kokanee","Year_Established","Amount","Established","Source","VariouSecondary Trout","Lake Name","Year","Unintentional","State_Province","Lake Trout","lon","lat"
118,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1144,,"Introduced",-106.33,,1,39.08,,,,"Secondary",,,,"Twin Lakes Reservoir",,"Silver King Lake",1972,,"Colorado","Primary",-106.37,38.91
,,,1047,,"Introduced",-116.87,,2,49.6,,,,,,40000,,"Kootenay Lake",,"Stanley Lake",1967,,"Idaho",,-115.06,44.24
93,,,1031,,"Introduced",-116.87,,1,49.6,,"Decrease in abundance of Kokanee salmon. No change in size of Kokanee salmon.",,"Primary",,250000,"Yes","Kootenay Lake",,"Moyie Lake",1970,,"British Columbia",,-115.84,49.33
,,"The introduction date is approximate and the source is inferred as Twin Lakes (source stated as being from Colorado).",1111,,"Introduced",-113.9,,2,48.98,,,,,,,,"Twin Lakes Reservoir",,"Fish Lake",1972,,"Utah",,-111.71,38.55
,,,1019,,"Introduced",-116.87,,3,49.6,,,,,,,,"Kootenay Lake",,"Coeur D Alene Lake",1974,,"Idaho",,-116.8,47.54
,2,,1134,,"Introduced",-106.33,,1,39.08,,,,,,54000,"No","Twin Lakes Reservoir",,"Middle Piney",1971,,"Wyoming","Primary",-110.57,42.6
,,,1040,,"Introduced",-116.87,,2,49.6,,,,,,90000,,"Kootenay Lake",,"Pinaus Lake",1966,,"British Columbia",,-119.59,50.43
97,1,,1032,,"Introduced",-116.87,,1,49.6,,"Decrease in abundance of Kokanee salmon. Increase in size of Kokanee salmon.",,"Primary",,240000,"Yes","Kootenay Lake",,"Okanagan Lake",1966,,"British Columbia",,-119.54,49.83
,,,1046,,"Introduced",-116.87,,2,49.6,,,,,,100000,,"Kootenay Lake",,"Slocan Lake",1974,,"British Columbia",,-117.43,49.88
,,,1202,,"Introduced",-113.9,,3,48.98,,,,,,200000,,"Waterton Lake ",,"Waldo Lake",1967,,"Oregon",,-122.04,43.73
147,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1152,,"Introduced",-106.33,,1,39.08,,,,"Secondary",,,,"Twin Lakes Reservoir",,"Willis Lake",1972,,"Colorado","Primary",-106.44,39.02
46,2,"The number introduced is approximated from a report that a total of 50,000 mysis shrimp were introduced into Maine lakes in 1975.",1058,,"Introduced",-72.22,,1,44.98,,"Not established.",,,,15000,"No","Lake Memphremagog",,"Fourth Debsconeag Lake",1975,,"Maine",,-69.08,45.75
58,,"Date for introduction is approximate.",1004,,"Intermountain diversions",-105.81,,1,40.24,,"Not established.",,,,,"No","Grand Lake",,"Horsetooth Reservoir",1980,"Primary","Colorado",,-105.16,40.56
,,,1103,,"Introduced",-106.33,,3,39.08,,,,,,,,"Twin Lakes Reservoir",,"Cheesman Lake",1974,,"Colorado",,-105.28,39.2
9,,,1168,,"Introduced",-113.9,,1,48.98,,,,,,2000,"Yes","Waterton Lake ",,"Blue Lake (NV)",1964,,"Nevada",,-118.72,41.68
65,,,1022,,"Introduced",-116.87,,1,49.6,,"Decrease in abundance of Kokanee salmon. No change in size of Kokanee salmon.",,"Primary",,145000,"Yes","Kootenay Lake",,"Kalamalka Lake",1965,,"British Columbia",,-119.31,50.19
,,,1089,,"Introduced",-90.17,,3,47.87,,,,,,600,,"Trout Lake",,"Grindstone Lake",1963,,"Minnesota",,-93.01,46.12
,,,1015,,"Introduced",-116.87,,2,49.6,,,,,,300000,,"Kootenay Lake",,"Canim Lake",1968,,"British Columbia",,-120.75,51.86
56,2,,1119,,"Introduced",-106.33,,1,39.08,,,,,1976,54000,"Yes","Twin Lakes Reservoir",,"Halfmoon Lake",1971,,"Wyoming","Primary",-110.43,43.83
22,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1104,,"Introduced",-106.33,,1,39.08,,,,"Secondary",,,,"Twin Lakes Reservoir",,"Clear Creek Reservoir",1971,,"Colorado","Primary",-106.25,39.02
73,,"Date for introduction is approximate.",1005,,"Intermountain diversions",-105.81,,1,40.24,,,,,," ","Yes","Grand Lake",,"Lake Estes",1980,"Primary","Colorado",,-105.5,40.38
20,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1101,,"Introduced",-106.33,,1,39.08,,"Not established.",,"Secondary",,,"No","Twin Lakes Reservoir",,"Cheesman Lake",1971,,"Colorado","Primary",-105.28,39.2
,,,1027,,"Introduced",-116.87,,2,49.6,,,,,,210000,,"Kootenay Lake",,"Lake Pend Oreille",1967,,"Idaho",,-116.33,48.18
95,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1135,,"Introduced",-106.33,,1,39.08,,,,"Secondary",,,,"Twin Lakes Reservoir",,"New York Lake",1972,,"Colorado","Primary",-106.6,39.49
79,1,,1163,,"Introduced",-113.9,,1,48.98,,"Decline/elmination of Daphnia species (zooplankton). Collapse of Kokanee population. ",,,1973,50000,"Yes","Waterton Lake",,"Lake Pend Oreille",1966,,"Idaho",,-116.33,48.18
21,,,1016,,"Introduced",-116.87,,1,49.6,,"No change in size of Kokanee salmon",,"Primary",,80000,"Yes","Kootenay Lake",,"Christina Lake",1968,,"British Columbia",,-118.25,49.11
28,,,1172,,"Introduced",-113.9,,1,48.98,,"Not established.",,,,4250,"No","Waterton Lake ",,"Crystal Lake",1968,,"Montana",,-116.55,45.22
149,,,1057,,"Introduced",-116.87,,1,49.6,,"Not established.",,"Primary",,90000,"No","Kootenay Lake",,"Wood Lake",1966,,"British Columbia",,-119.38,50.1
90,,,1189,,"Introduced",-113.9,,1,48.98,,"Not established.",,,,160000,"No","Waterton Lake ",,"Miller Lake",1967,,"Oregon",,-121.95,43.22
0,,,1155,,"Introduced",-113.9,,1,48.98,,,,,,50000,,"Waterton Lake",,"Alturas Lake",1966,,"Idaho",,-114.86,43.91
8,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1095,,"Introduced",-106.33,,1,39.08,,,,"Secondary",,,,"Twin Lakes Reservoir",,"Blue Lake (CO)",1971,,"Colorado","Primary",-106.62,40.82
88,2,,1188,,"Introduced",-113.9,,1,48.98,,,,,1974,4250,"Yes","Waterton Lake ",,"McGregor Lake",1968,,"Montana",,-114.83,48.03
140,,,1200,,"Introduced",-113.9,,1,48.98,,"Not established.",,,,119000,"No","Waterton Lake ",,"Waldo Lake",1965,,"Oregon",,-122.04,43.73
39,,,1086,,"Introduced",-119.59,,1,50.43,,"No information.",,"Primary",,225000,,"Pinaus Lake",,"Echo Lake (BC)",1980,,"British Columbia",,-118.71,50.2
104,,,1165,,"Introduced",-113.9,,1,48.98,,,,,,100000,,"Waterton Lake",,"Payette Lake",1966,,"Idaho",,-116.09,44.95
59,1,,1008,,"Introduced",-105.81,,1,40.24,,,,,,20000,"Yes","Green Lake",,"Huntington Lake",1963,,"California",,-119.2,37.24
34,,,1064,,"Introduced",-114.83,,1,48.03,,,,,1975,2000,"Yes","McGregor Lake  ",,"Dickey Lake",1975,,"Montana",,-114.82,48.71
,,,1041,,"Introduced",-116.87,,3,49.6,,,,,,300000,,"Kootenay Lake",,"Priest Lake",1967,,"Idaho",,-116.87,48.59
,,,1102,,"Introduced",-106.33,,2,39.08,,,,,,,,"Twin Lakes Reservoir",,"Cheesman Lake",1972,,"Colorado",,-105.28,39.2
116,,"Date for introduction is approximate.",1007,,"Intermountain diversions",-105.81,,1,40.24,,,,,," ","Yes","Grand Lake",,"Shadow Mountain Lake",1980,"Primary","Colorado",,-105.84,40.23
,,,1018,,"Introduced",-116.87,,2,49.6,,,,,,100000,,"Kootenay Lake",,"Coeur D Alene Lake",1969,,"Idaho",,-116.8,47.54
26,,,1170,,"Introduced",-113.9,,1,48.98,,"Not established.",,,,100000,"No","Waterton Lake ",,"Crescent Lake",1966,,"Oregon",,-121.99,43.48
,,,1162,,"Introduced",-113.9,,2,48.98,,,,,,6250,,"Waterton Lake",,"Kootenay Lake",1950,,"British Columbia",,-116.87,49.6
121,,,1068,,"Introduced",-114.83,,1,48.03,,"Not established.",,,,,"No","McGregor Lake  ",,"Spar Lake",1975,,"Montana",,-115.95,48.26
137,,"One report states that ""thousands"" were introduced.",1051,"Primary","Introduced",-116.87,,1,49.6,,,,,1982,,"Yes","Kootenay Lake",,"Upper Kananaskis Lake",1967,,"Alberta",,-115.16,50.62
96,,,1190,,"Introduced",-113.9,,1,48.98,,"Not established.",,,,125000,"No","Waterton Lake ",,"Odell Lake",1967,,"Oregon",,-122,43.57
40,,,1178,,"Introduced",-113.9,,1,48.98,,"Virtual disappearance of Daphnia species (zooplankton).",,,,30000,"Yes","Waterton Lake ",,"Fallen Leaf Lake",1965,,"California",,-120.06,38.9
75,2,"The source is referred to as high mountain lake of Colorado, which was probably Twin Lakes.",1125,,"Introduced",-106.33,,1,39.08,"Primary",,,,,,,"Twin Lakes Reservoir",,"Lake James",1981,,"North Carolina",,-81.95,35.74
,,,1037,,"Introduced",-116.87,,3,49.6,,,,,,94500,,"Kootenay Lake",,"Payette Lake",1968,,"Idaho",,-116.09,44.95
,,,1048,,"Introduced",-116.87,,3,49.6,,,,,,31500,,"Kootenay Lake",,"Stanley Lake",1968,,"Idaho",,-115.06,44.24
125,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1146,,"Introduced",-106.33,,1,39.08,,,,"Secondary",,,,"Twin Lakes Reservoir",,"Sugarbowl Lake",1971,,"Colorado","Primary",-105.97,40.7
13,,,1014,,"Introduced",-116.87,,1,49.6,,"Decrease in abundance of Kokanee salmon. No information Lake Trout.",,"Primary",,325000,"Yes","Kootenay Lake",,"Canim Lake",1967,,"British Columbia","Primary",-120.75,51.86
91,,,1081,,"Introduced",-119.54,,1,49.83,,"Not established.",,"Primary",,20000,"No","Okanagan Lake",,"Missezula Lake",1975,,"British Columbia",,-120.52,49.79
36,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1110,,"Introduced",-106.33,,1,39.08,,"Decline/elmination of Daphnia species (zooplankton). Decline of Kokanee salmon fishery.",,"Secondary",1978,,"Yes","Twin Lakes Reservoir",,"Dillon Reservoir",1970,,"Colorado","Primary",-106.05,39.6
105,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1137,,"Introduced",-106.33,,1,39.08,,,,"Secondary",,,,"Twin Lakes Reservoir",,"Peggy Lake",1971,,"Colorado","Primary",-106.64,40.83
71,,,1066,,"Introduced",-114.83,,1,48.03,,"Not established.",,,,5000,"No","McGregor Lake  ",,"Lake Blaine",1975,,"Montana",,-114.12,48.25
,,,1060,,"Introduced",-72.22,,2,44.98,,,,,,15000,,"Lake Memphremagog",,"Jordan Pond",1975,,"Maine",,-68.26,44.33
123,,,1166,,"Introduced",-113.9,,1,48.98,,,,,,50000,,"Waterton Lake",,"Stanley Lake",1966,,"Idaho",,-115.06,44.24
45,,,1179,,"Introduced",-113.9,,1,48.98,,"Not established.",,,,75000,"No","Waterton Lake ",,"Fourmile Lake",1967,,"Oregon",,-122.25,42.47
,,,1026,,"Introduced",-116.87,,3,49.6,,,,,,500000,,"Kootenay Lake",,"Lake Chelan",1971,,"Washington",,-120.35,48.03
,,,1128,,"Introduced",-106.33,,2,39.08,,,,,,,"No","Twin Lakes Reservoir",,"Lake Oahe",1973,,"South Dakota",,-100.41,44.93
53,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1117,,"Introduced",-106.33,,1,39.08,,"Not established.",,"Secondary",,,"No","Twin Lakes Reservoir",,"Green Mountain Reservoir",1974,,"Colorado","Primary",-106.3,39.88
138,,,1052,,"Introduced",-116.87,,1,49.6,,,,,,75000,,"Kootenay Lake",,"Upper Payette Lake",1969,,"Idaho",,-116.02,45.13
,,,1012,,"Introduced",-105.81,,3,40.24,,,,,,100000,,"Kootenay Lake",,"Anderson Ranch Reservoir",1967,,"Idaho",,-115.36,43.4
103,,,1192,,"Introduced",-113.9,,1,48.98,,,,,,107730,,"Waterton Lake ",,"Patterson Lake",1968,,"California",,-120.22,41.38
133,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1150,,"Introduced",-106.33,,1,39.08,,,,"Secondary",1983,,"Yes","Twin Lakes Reservoir",,"Turquoise Lake",1972,,"Colorado","Primary",-106.37,39.27
3,,,1167,,"Introduced",-113.9,,1,48.98,,,,,1974,4250,"Yes","Waterton Lake ",,"Ashley Lake",1968,,"Montana",,-114.6,48.21
148,2,,1153,,"Introduced",-106.33,,1,39.08,,,,,1977,54000,"Yes","Twin Lakes Reservoir",,"Willow Lake",1971,,"Wyoming","Primary",-109.89,43
,,,1164,,"Introduced",-113.9,,1,48.98,,,,,,,"No","Waterton Lake",,"Lake Sakakawea",1973,,"North Dakota",,-102.33,47.79
60,,,1180,,"Introduced",-113.9,,1,48.98,,"Not established.",,,,20000,"No","Waterton Lake ",,"Ice Lake",1967,,"Oregon",,-117.27,45.23
85,,,1186,,"Introduced",-113.9,,1,48.98,,,,,,15000,"Yes","Waterton Lake ",,"Lower Echo Lake",1963,,"California",,-120.06,38.84
80,1,,1182,,"Introduced",-113.9,,1,48.98,,"Decline/elmination of Daphnia species (zooplankton). Collapse of Kokanee population. Decrease in abundance of Lake Trout. Decrease in size of Lake Trout.",,,1969,82650,"Yes","Waterton Lake ",,"Lake Tahoe",1963,,"California",,-120.03,39.09
117,,,1195,,"Introduced",-113.9,,1,48.98,,,,,,223150,"Yes","Waterton Lake ",,"Shasta Lake",1967,,"California",,-122.37,40.77
63,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1122,,"Introduced",-106.33,,1,39.08,,,,"Secondary",,,"Yes","Twin Lakes Reservoir",,"Jefferson Lake",1972,,"Colorado","Primary",-105.86,39.46
47,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1115,,"Introduced",-106.33,,1,39.08,,,"Gold Dust Lakes 1-5","Secondary",,,,"Twin Lakes Reservoir",,"Gold Dust Lakes",1972,,"Colorado","Primary",-106.58,39.49
112,,,1042,,"Introduced",-116.87,,1,49.6,,,,,,50000,,"Kootenay Lake",,"Redfish Lake",1966,,"Idaho",,-114.93,44.12
14,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1097,,"Introduced",-106.33,,1,39.08,,,,"Secondary",,,,"Twin Lakes Reservoir",,"Capitol Lake",1972,,"British Columbia","Primary",-107.08,39.16
,,,1043,,"Introduced",-116.87,,2,49.6,,,,,,60000,,"Kootenay Lake",,"Redfish Lake",1967,,"Idaho",,-114.93,44.12
54,1,"Report states that stocking averaged 200-1000 mysis per year from 1961 to 1964. ",1087,,"Introduced",-90.17,,1,47.87,,,,,1965,600,"Yes","Trout Lake",,"Grindstone Lake",1961,,"Minnesota","Primary",-93.01,46.12
35,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1109,,"Introduced",-106.33,,1,39.08,,,,"Secondary",,,,"Twin Lakes Reservoir",,"Diemer Lake",1970,,"Colorado","Primary",-106.61,39.33
92,2,"The number introduced is approximated from a report that a total of 50,000 mysis shrimp were introduced into Maine lakes in 1975.",1061,,"Introduced",-72.22,,1,44.98,,,,,1984,20000,"Yes","Lake Memphremagog",,"Moosehead Lake",1975,,"Maine",,-69.67,45.54
33,,,1176,,"Introduced",-113.9,,1,48.98,,,"Detroit Reservoir",,1988,100000,"Yes","Waterton Lake ",,"Detroit Lake",1967,,"Oregon",,-122.19,44.71
17,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1098,,"Introduced",-106.33,,1,39.08,,,,"Secondary",,,,"Twin Lakes Reservoir",,"Chalk Lake",1972,,"Colorado","Primary",-106.22,39.38
31,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1107,,"Introduced",-106.33,,1,39.08,,,,"Secondary",,,,"Twin Lakes Reservoir",,"Deckers Lake",1972,,"Colorado","Primary",-106.41,39.33
