lake_name,lake_name_note,lon,lat,state_province,year,year_note,source,source_note,long_source,lat_source,intro_no,fish,fish_note,amount,amount_note,established,year_established,effect_note,effect_note,importance,about,joinID
Bowl of Tears Lake,,-106.47,39.46,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1096
Chalk Lake,,-106.22,39.38,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1098
Cheesman Lake,,-105.28,39.2,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,2,lake,,,,,,,,,,1102
Crater Lakes,,-105.68,39.9,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1105
Crystal Pond,,-106.11,39.44,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1106
Deckers Lake,,-106.41,39.33,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1107
Deep Lake,,-107.3,39.77,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1108
Gold Dust Lakes,Gold Dust Lakes 1-5,-106.58,39.49,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1115
Homestake Reservoir,,-106.47,39.36,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1120
Jefferson Lake,,-105.86,39.46,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,yes,,,,,,1122
New York Lake,,-106.6,39.49,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1135
Pierre Lakes,,-107.07,39.14,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1138
Silver King Lake,,-106.37,38.91,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1144
Turquoise Lake,,-106.37,39.27,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,yes,1983,,,,,1150
Willis Lake,,-106.44,39.02,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1152
Taylor Park Reservoir,,-106.58,38.84,Colorado,1973,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,yes,1984,,,,,1147
Cheesman Lake,,-105.28,39.2,Colorado,1974,,Twin Lakes Reservoir,,-106.33,39.08,3,lake,,,,,,,,,,1103
Green Mountain Reservoir,,-106.3,39.88,Colorado,1974,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,no,,not_established,Not established.,,,1117
Stillwater Reservoir,,-107.13,40.02,Colorado,1974,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,"Primarily lake trout, but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",,,,,,,,,1145
Taylor Park Reservoir,,-106.58,38.84,Colorado,1974,,Twin Lakes Reservoir,,-106.33,39.08,2,lake,,,,,,,,,,1148
Carter Lake Reservoir,,-105.22,40.34,Colorado,1980,Date for introduction is approximate.,Grand Lake,Intermountain diversions,-105.81,40.24,1,unintentional,, ,,yes,1986,,,,,1003
Horsetooth Reservoir,,-105.16,40.56,Colorado,1980,Date for introduction is approximate.,Grand Lake,Intermountain diversions,-105.81,40.24,1,unintentional,,,,no,,not_established,Not established.,,,1004
Lake Estes,,-105.5,40.38,Colorado,1980,Date for introduction is approximate.,Grand Lake,Intermountain diversions,-105.81,40.24,1,unintentional,, ,,yes,,,,,,1005
Mary Lake,Mary's Lake,-104.86,39.82,Colorado,1980,Date for introduction is approximate.,Grand Lake,Intermountain diversions,-105.81,40.24,1,unintentional,, ,,yes,,,,,,1006
Shadow Mountain Lake,,-105.84,40.23,Colorado,1980,Date for introduction is approximate.,Grand Lake,Intermountain diversions,-105.81,40.24,1,unintentional,, ,,yes,,,,,,1007
Anderson Ranch Reservoir,,-115.36,43.4,Idaho,1965,,Waterton Lake,,-113.9,48.98,1,kokanee,,30000,,,,,,,,1156
Priest Lake,,-116.87,48.59,Idaho,1965,,Waterton Lake ,,-113.9,48.98,1,kokanee,,295000,,yes,1969,,,1,,1193
Redfish Lake,,-114.93,44.12,Idaho,1966,,Kootenay Lake,,-116.87,49.6,1,kokanee,,50000,,,,,,,,1042
Anderson Ranch Reservoir,,-115.36,43.4,Idaho,1966,,Kootenay Lake,,-116.87,49.6,2,kokanee,,100000,,,,,,,,1011
Alturas Lake,,-114.86,43.91,Idaho,1966,,Waterton Lake,,-113.9,48.98,1,kokanee,,50000,,,,,,,,1155
Lake Pend Oreille,,-116.33,48.18,Idaho,1966,,Waterton Lake,,-113.9,48.98,1,kokanee,,50000,,yes,1973,Decline/elmination of Daphnia species (zooplankton). Collapse of Kokanee population. ,Decline/elmination of Daphnia species (zooplankton). Collapse of Kokanee population. ,1,,1163
Payette Lake,,-116.09,44.95,Idaho,1966,,Waterton Lake,,-113.9,48.98,1,kokanee,,100000,,,,,,,,1165
Stanley Lake,,-115.06,44.24,Idaho,1966,,Waterton Lake,,-113.9,48.98,1,kokanee,,50000,,,,,,,,1166
Priest Lake,,-116.87,48.59,Idaho,1966,,Waterton Lake ,,-113.9,48.98,2,kokanee,,400000,,,,,,1,,1194
Lake Pend Oreille,,-116.33,48.18,Idaho,1967,,Kootenay Lake,,-116.87,49.6,2,kokanee,,210000,,,,,,,,1027
Payette Lake,,-116.09,44.95,Idaho,1967,,Kootenay Lake,,-116.87,49.6,2,kokanee,,100000,,,,,,,,1036
Pettit Lake,,-114.88,43.98,Idaho,1967,,Kootenay Lake,,-116.87,49.6,1,kokanee,,40000,,,,,,,,1038
Priest Lake,,-116.87,48.59,Idaho,1967,,Kootenay Lake,,-116.87,49.6,3,kokanee,,300000,,,,,,,,1041
Redfish Lake,,-114.93,44.12,Idaho,1967,,Kootenay Lake,,-116.87,49.6,2,kokanee,,60000,,,,,,,,1043
Stanley Lake,,-115.06,44.24,Idaho,1967,,Kootenay Lake,,-116.87,49.6,2,kokanee,,40000,,,,,,,,1047
Alturas Lake,,-114.86,43.91,Idaho,1967,,Kootenay Lake,,-116.87,49.6,2,kokanee,,60000,,,,,,,,1009
Anderson Ranch Reservoir,,-115.36,43.4,Idaho,1967,,Kootenay Lake,,-116.87,49.6,3,kokanee,,100000,,,,,,,,1012
Coeur D Alene Lake,,-116.8,47.54,Idaho,1968,,Kootenay Lake,,-116.87,49.6,1,kokanee,,200000,,no,,not_established,Not established.,2,,1017
Lake Pend Oreille,,-116.33,48.18,Idaho,1968,,Kootenay Lake,,-116.87,49.6,3,kokanee,,300000,,,,,,,,1028
Palisades Reservoir,,-111.11,43.23,Idaho,1968,,Kootenay Lake,,-116.87,49.6,1,kokanee,,115500,,,,,,,,1034
Payette Lake,,-116.09,44.95,Idaho,1968,,Kootenay Lake,,-116.87,49.6,3,kokanee,,94500,,,,,,,,1037
Redfish Lake,,-114.93,44.12,Idaho,1968,,Kootenay Lake,,-116.87,49.6,3,kokanee,,52500,,,,,,,,1044
Stanley Lake,,-115.06,44.24,Idaho,1968,,Kootenay Lake,,-116.87,49.6,3,kokanee,,31500,,,,,,,,1048
Upper Priest Lake,,-116.89,48.78,Idaho,1968,,Kootenay Lake,,-116.87,49.6,1,kokanee,,100000,,yes,1973,,,,,1053
Alturas Lake,,-114.86,43.91,Idaho,1968,,Kootenay Lake,,-116.87,49.6,3,kokanee,,42000,,,,,,,,1010
Coeur D Alene Lake,,-116.8,47.54,Idaho,1969,,Kootenay Lake,,-116.87,49.6,2,kokanee,,100000,,,,,,,,1018
Palisades Lake,,-113.58,47.69,Idaho,1969,,Kootenay Lake,,-116.87,49.6,1,kokanee,,40000,,,,,,,,1033
Palisades Reservoir,,-111.11,43.23,Idaho,1969,,Kootenay Lake,,-116.87,49.6,2,kokanee,,210000,,,,,,,,1035
Upper Payette Lake,,-116.02,45.13,Idaho,1969,,Kootenay Lake,,-116.87,49.6,1,kokanee,,75000,,,,,,,,1052
Upper Priest Lake,,-116.89,48.78,Idaho,1969,,Kootenay Lake,,-116.87,49.6,2,kokanee,,100000,,,,,,,,1054
Warm Lake,,-115.67,44.64,Idaho,1969,,Kootenay Lake,,-116.87,49.6,1,kokanee,,75000,,,,,,,,1055
Coeur D Alene Lake,,-116.8,47.54,Idaho,1974,,Kootenay Lake,,-116.87,49.6,3,kokanee,,,,,,,,,,1019
Jordan Pond,,-68.26,44.33,Maine,1971,,Lake Memphremagog,,-72.22,44.98,1,lake,,,,no,,not_established,Not established.,2,,1059
Fourth Debsconeag Lake,,-69.08,45.75,Maine,1975,,Lake Memphremagog,,-72.22,44.98,1,lake,,15000,"The number introduced is approximated from a report that a total of 50,000 mysis shrimp were introduced into Maine lakes in 1975.",no,,not_established,Not established.,2,,1058
Jordan Pond,,-68.26,44.33,Maine,1975,,Lake Memphremagog,,-72.22,44.98,2,lake,,15000,"The number introduced is approximated from a report that a total of 50,000 mysis shrimp were introduced into Maine lakes in 1975.",,,not_established,,,,1060
Moosehead Lake,,-69.67,45.54,Maine,1975,,Lake Memphremagog,,-72.22,44.98,1,lake,,20000,"The number introduced is approximated from a report that a total of 50,000 mysis shrimp were introduced into Maine lakes in 1975.",yes,1984,nsk_change,No significant known change.,2,,1061
Grindstone Lake,,-93.01,46.12,Minnesota,1961,,Trout Lake,,-90.17,47.87,1,lake,,600,Report states that stocking averaged 200-1000 mysis per year from 1961 to 1964. ,yes,1965,,,1,,1087
Grindstone Lake,,-93.01,46.12,Minnesota,1962,,Trout Lake,,-90.17,47.87,2,lake,,600,,,,,,,,1088
Grindstone Lake,,-93.01,46.12,Minnesota,1963,,Trout Lake,,-90.17,47.87,3,lake,,600,,,,,,,,1089
Ashley Lake,,-114.6,48.21,Montana,1968,,Waterton Lake ,,-113.9,48.98,1,kokanee,,4250,,yes,1974,,,,,1167
Crystal Lake,,-116.55,45.22,Montana,1968,,Waterton Lake ,,-113.9,48.98,1,kokanee,,4250,,no,,not_established,Not established.,,,1172
Little Bitterroot Lake,,-114.72,48.11,Montana,1968,,Waterton Lake ,,-113.9,48.98,1,kokanee,,4250,,yes,1974,,,,,1185
McGregor Lake,,-114.83,48.03,Montana,1968,,Waterton Lake ,,-113.9,48.98,1,kokanee,,4250,,yes,1974,,,2,,1188
Whitefish Lake,,-114.38,48.45,Montana,1968,,Waterton Lake ,,-113.9,48.98,1,kokanee,,4250,,yes,1976,,,1,,1207
Bull Lake,,-115.85,48.23,Montana,1975,,McGregor Lake  ,,-114.83,48.03,1,kokanee,,6000,,,,,,,,1063
Dickey Lake,,-114.82,48.71,Montana,1975,,McGregor Lake  ,,-114.83,48.03,1,kokanee,,2000,,yes,1975,,,,,1064
Lake Blaine,,-114.12,48.25,Montana,1975,,McGregor Lake  ,,-114.83,48.03,1,kokanee,,5000,,no,,not_established,Not established.,,,1066
Middle Thompson Lake,,-115.07,48.03,Montana,1975,,McGregor Lake  ,,-114.83,48.03,1,kokanee,,14000,,no,,not_established,Not established.,,,1067
Spar Lake,,-115.95,48.26,Montana,1975,,McGregor Lake  ,,-114.83,48.03,1,kokanee,,,,no,,not_established,Not established.,,,1068
Swan Lake,,-113.88,47.94,Montana,1975,,McGregor Lake  ,,-114.83,48.03,1,kokanee,,14000,,yes,1980,,,2,,1069
Tally Lake,,-114.56,48.41,Montana,1975,,McGregor Lake  ,,-114.83,48.03,1,kokanee,,2000,,no,,not_established,Not established.,,,1070
Holland Lake,,-113.61,47.45,Montana,1976,,McGregor Lake  ,,-114.83,48.03,1,kokanee,,8000,,no,,not_established,Not established.,,,1065
Flathead Lake,,-114.1,47.88,Montana,1981,Date for introduction is approximate.,Whitefish Lake,Downstream drift,-114.38,48.45,1,unintentional,, ,,yes,1984,,,1,The effects of mysis in Flathead Lake have become one of the most infamous ,1208
Blue Lake (NV),,-118.72,41.68,Nevada,1964,,Waterton Lake ,,-113.9,48.98,1,lake,,2000,,yes,,,,,,1168
Island Lake,,-115.38,40.62,Nevada,1965,,Waterton Lake,,-113.9,48.98,1,trout,,2000,,yes,,,,,,1160
Blue Lake (NV),,-118.72,41.68,Nevada,1965,,Waterton Lake ,,-113.9,48.98,2,trout,,2000,,,,,,,,1169
Nantahala Lake,,-83.68,35.18,North Carolina,1970,,Lake Michigan,,-87.23,43.24,1,rainbow,,70000,,no,,not_established,Not established.,2,,1062
Fontana Lake,,-83.66,35.42,North Carolina,1981,,Twin Lakes Reservoir,"The source is referred to as high mountain lake of Colorado, which was probably Twin Lakes.",-106.33,39.08,1,whitebass-steelhead,,,,,,,,2,,1113
Lake James,,-81.95,35.74,North Carolina,1981,,Twin Lakes Reservoir,"The source is referred to as high mountain lake of Colorado, which was probably Twin Lakes.",-106.33,39.08,1,whitebass-steelhead,,,,,,,,2,,1125
Lake Sakakawea,,-102.33,47.79,North Dakota,1973,,Waterton Lake,,-113.9,48.98,1,kokanee-trout,,,,no,,,,,,1164
Lake Sakakawea,,-102.33,47.79,North Dakota,1974,,Twin Lakes Reservoir,,-106.33,39.08,2,kokanee-trout,,,,no,,,,,,1130
Lake Sakakawea,,-102.33,47.79,North Dakota,1979,,Twin Lakes Reservoir,,-106.33,39.08,3,kokanee-trout,,,,no,,,,,,1131
Cultus Lake,,-121.85,43.84,Oregon,1965,,Waterton Lake ,,-113.9,48.98,1,kokanee-trout,,26000,,yes,1988,,,,,1173
Timothy Lake,Timothy Reservoir,-121.78,45.12,Oregon,1965,,Waterton Lake ,,-113.9,48.98,1,kokanee-trout,,20000,,no,,not_established,Not established.,,,1196
Waldo Lake,,-122.04,43.73,Oregon,1965,,Waterton Lake ,,-113.9,48.98,1,kokanee-trout,,119000,,no,,not_established,Not established.,,,1200
Wallowa Lake,,-117.21,45.31,Oregon,1965,,Waterton Lake ,,-113.9,48.98,1,kokanee-trout,,130000,,yes,1986,,,2,,1203
Crescent Lake,,-121.99,43.48,Oregon,1966,,Waterton Lake ,,-113.9,48.98,1,kokanee-trout,,100000,,no,,not_established,Not established.,,,1170
Cultus Lake,,-121.85,43.84,Oregon,1966,,Waterton Lake ,,-113.9,48.98,2,kokanee-trout,,90000,,,,,,,,1174
Timothy Lake,,-121.78,45.12,Oregon,1966,,Waterton Lake ,,-113.9,48.98,2,kokanee-trout,,98000,,,,,,,,1197
Waldo Lake,,-122.04,43.73,Oregon,1966,,Waterton Lake ,,-113.9,48.98,2,kokanee-trout,,200000,,,,,,,,1201
Wallowa Lake,,-117.21,45.31,Oregon,1966,,Waterton Lake ,,-113.9,48.98,2,kokanee-trout,,130000,,,,,,,,1204
Crescent Lake,,-121.99,43.48,Oregon,1967,,Waterton Lake ,,-113.9,48.98,2,kokanee-trout,,100000,,,,,,,,1171
Cultus Lake,,-121.85,43.84,Oregon,1967,,Waterton Lake ,,-113.9,48.98,3,kokanee-trout,,100000,,,,,,,,1175
Detroit Lake,Detroit Reservoir,-122.19,44.71,Oregon,1967,,Waterton Lake ,,-113.9,48.98,1,kokanee-trout,,100000,,yes,1988,,,,,1176
Fourmile Lake,,-122.25,42.47,Oregon,1967,,Waterton Lake ,,-113.9,48.98,1,kokanee-trout,,75000,,no,,not_established,Not established.,,,1179
Ice Lake,,-117.27,45.23,Oregon,1967,,Waterton Lake ,,-113.9,48.98,1,kokanee-trout,,20000,,no,,not_established,Not established.,,,1180
Miller Lake,,-121.95,43.22,Oregon,1967,,Waterton Lake ,,-113.9,48.98,1,kokanee-trout,,160000,,no,,not_established,Not established.,,,1189
Odell Lake,,-122,43.57,Oregon,1967,,Waterton Lake ,,-113.9,48.98,1,kokanee-trout,,125000,,no,,not_established,Not established.,,,1190
Olive Lake,Olive Reservoir,-118.6,44.78,Oregon,1967,,Waterton Lake ,,-113.9,48.98,1,kokanee-trout,,20000,,yes,1987,,,,,1191
Timothy Lake,,-121.78,45.12,Oregon,1967,,Waterton Lake ,,-113.9,48.98,3,kokanee-trout,,60000,,,,,,,,1198
Waldo Lake,,-122.04,43.73,Oregon,1967,,Waterton Lake ,,-113.9,48.98,3,kokanee-trout,,200000,,,,,,,,1202
Wallowa Lake,,-117.21,45.31,Oregon,1967,,Waterton Lake ,,-113.9,48.98,3,kokanee-trout,,130000,,,,,,,,1205
Lake Oahe,,-100.41,44.93,South Dakota,1972,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,,,,no,,,,,,1127
Pactola Lake,,-103.51,44.08,South Dakota,1973,,Twin Lakes Reservoir,,-106.33,39.08,1,kokanee,,,,no,,,,,,1136
Lake Oahe,,-100.41,44.93,South Dakota,1973,,Twin Lakes Reservoir,,-106.33,39.08,2,lake,,,,no,,,,,,1128
Lake Oahe,,-100.41,44.93,South Dakota,1974,,Twin Lakes Reservoir,,-106.33,39.08,3,lake,,,,no,,,,,,1129
Bear Lake,,-111.33,42.02,Utah,1970,,Waterton Lake,,-113.9,48.98,1,lake,,75000,,,,,,2,,1157
Fish Lake,,-111.71,38.55,Utah,1970,,Waterton Lake,,-113.9,48.98,1,trout,"Mysis were introduced for ""trout,"" but Fish Lake is predominantly a Lake Trout fishery, so probably for Lake Trout, but could also include Rainbow Trout.",,,yes,1986,,,2,,1159
Causey Reservoir,Causey Creek Reservoir,-111.58,41.3,Utah,1971,,Waterton Lake,,-113.9,48.98,1,trout,"Target trout included Cutthroat, Brown, Brook, Rainbow Trout.",20000,,,,,,2,,1158
Fish Lake,,-111.71,38.55,Utah,1972,The introduction date is approximate and the source is inferred as Twin Lakes (source stated as being from Colorado).,Twin Lakes Reservoir,,-106.33,39.08,2,trout,,,,,,,,,,1111
Fish Lake,,-111.71,38.55,Utah,1976,,Twin Lakes Reservoir,,-106.33,39.08,3,trout,,500000,,,,,,,,1112
Lake Chelan,,-120.35,48.03,Washington,1968,,Kootenay Lake,,-116.87,49.6,1,kokanee,,500000,,yes,1975,,,2,,1024
Lake Chelan,,-120.35,48.03,Washington,1969,,Kootenay Lake,,-116.87,49.6,2,kokanee,,500000,,,,,,,,1025
Lake Chelan,,-120.35,48.03,Washington,1971,,Kootenay Lake,,-116.87,49.6,3,kokanee,,500000,,,,,,,,1026
Halfmoon Lake,,-110.43,43.83,Wyoming,1971,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,,54000,,yes,1976,,,2,,1119
Middle Piney,,-110.57,42.6,Wyoming,1971,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,,54000,,no,,,,2,,1134
Willow Lake,,-109.89,43,Wyoming,1971,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,,54000,,yes,1977,,,2,,1153
